2024-11-13 11:35:23 - Удален билет id - 39284. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2024-11-30 в 15:00, id автобуса - 39265, место - 01, пассажир - ЮДИН ИВАН ДМИТРИЕВИЧ
2024-12-10 10:26:15 - Удален билет id - 39298. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:29:02 - Удален билет id - 39298. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:29:44 - Удален билет id - 39298. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:30:23 - Удален билет id - 39298. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:30:52 - Удален билет id - 39298. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:34:05 - Удален билет id - 39299. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:34:16 - Удален билет id - 39300. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 02, пассажир - Тест Тест Тест
2024-12-10 10:34:53 - Удален билет id - 39301. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 03, пассажир - Тест Тест Тест
2024-12-10 10:36:53 - Удален билет id - 39302. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:44:25 - Удален билет id - 39303. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:44:44 - Удален билет id - 39304. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 02, пассажир - Тест Тест Тест
2024-12-10 10:45:44 - Удален билет id - 39306. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2024-12-10 в 15:00, id автобуса - 39265, место - 01, пассажир - Тест Тест Тест
2024-12-10 10:45:53 - Удален билет id - 39305. Билет удален оператором admin-test. Параметры удаленного билета: Москва - Луганск в 15:00 (ООО Терек) 2025-01-10 в 15:00, id автобуса - 39265, место - 03, пассажир - Тест Тест Тест
